,walmart,soriana,aurrera,superama
01/01/2010,4.263981394,3.866725449,-0.985671061,-1.824032335
02/01/2010,-2.938739298,-0.104874169,1.541402583,-4.985405365
03/01/2010,-4.178196238,3.712511268,2.400645232,-1.750959951
04/01/2010,-1.518259182,-2.572814151,-1.328788283,-4.750997821
05/01/2010,0.715600669,-1.16322226,-0.581251654,2.282958013
06/01/2010,-3.703553383,-0.230594871,-2.732669584,0.798145564
07/01/2010,0.118041845,-0.233496919,-2.493487345,-0.904687809
08/01/2010,2.960489045,2.007090046,-0.142594948,-3.459154036
09/01/2010,0.502928782,0.99567337,-0.843882983,-2.873961067
10/01/2010,2.114950544,1.118256934,-1.640809973,1.847621019
11/01/2010,1.095894823,-9.436859774,3.888414316,-2.325732626
12/01/2010,0.008844738,0.460357797,-0.684621865,3.769582899
13/01/2010,-4.711043996,-2.629180119,-1.317352195,-0.874438747
14/01/2010,-0.749441248,-2.26214786,2.97949665,2.05405738
15/01/2010,-0.972559699,0.075042471,3.570302228,-1.703120117
16/01/2010,1.120434417,-6.920089708,4.392880925,1.624089718
17/01/2010,-4.309301012,0.564199291,-6.57422801,2.241126052
18/01/2010,-0.657914271,0.423506742,-2.934495771,0.298550278
19/01/2010,0.422375543,5.678271203,-0.148975632,0.972826983
20/01/2010,-0.204816782,-2.909132475,-0.676237935,-1.694735394
21/01/2010,-5.48837504,0.773561033,4.034849974,0.578270281
22/01/2010,1.493945834,-0.394270215,6.260437694,-9.651925274
23/01/2010,-0.303434189,3.287656098,-1.082507291,0.34888318
24/01/2010,0.18587675,2.301085692,-4.221375945,-0.004196665
25/01/2010,-0.047639868,2.22885456,-0.652962768,0.144067359
26/01/2010,-1.273001473,1.036984583,-4.498076124,-5.32134326
27/01/2010,-1.81389262,-7.591558566,-2.306521612,-3.235926276
28/01/2010,-2.182786913,-4.022992511,-5.317068399,-0.581250758
29/01/2010,-1.431833913,-0.027274427,0.745749265,2.878786006
30/01/2010,-2.211398225,6.576426661,7.516466989,-1.234512583
31/01/2010,3.841193399,-1.554811131,1.255335873,1.224952835
01/02/2010,6.243365587,3.032782232,0.939327994,-2.297772428
02/02/2010,1.725564352,5.156704334,5.664169748,-6.320972078
03/02/2010,-3.692613301,-0.698864859,0.899126161,-0.232155699
04/02/2010,-1.107360831,5.058700346,2.122795035,-1.72124444
05/02/2010,-1.940014959,0.745429888,2.238469766,-1.694254629
06/02/2010,4.467315815,-2.324373405,2.904400353,0.319790452
07/02/2010,-2.707899833,-1.480424912,0.183605803,3.811183917
08/02/2010,0.183728135,-3.372988193,-1.660194831,7.525165519
09/02/2010,-0.153019205,2.837737861,2.871036801,4.753846979
10/02/2010,2.917496787,-2.604724673,2.309123666,5.701641862
11/02/2010,-1.849495116,3.423142489,-0.739107132,2.725003986
12/02/2010,-1.186790508,-1.063237096,-3.885094182,-0.113431573
13/02/2010,-0.472924758,-2.826610037,4.334568202,2.824050023
14/02/2010,6.124819357,0.110802545,-1.565662217,3.130361234
15/02/2010,1.746755543,3.808855382,-0.397532229,2.078803012
16/02/2010,-0.871141296,-3.480019291,4.667458909,-1.365827283
17/02/2010,1.455348974,-1.402754846,-2.708817761,-4.897916344
18/02/2010,2.10199576,-1.505302874,-8.009721803,-3.6708958
19/02/2010,6.054722862,1.754410262,0.487835411,1.006361558
20/02/2010,-4.185329306,-0.22185339,0.42314572,-0.39984653
21/02/2010,-1.277209151,2.282321558,1.4752069,-2.848646455
22/02/2010,3.472386049,-0.068293889,-3.282030315,5.295126436
23/02/2010,1.328823065,-2.643692381,-0.401434357,-4.405410245
24/02/2010,3.023467081,-1.600489378,4.580092516,1.232480874
25/02/2010,0.878460897,2.025471007,-0.350863904,-0.916677825
26/02/2010,6.430728655,0.01026981,-0.699574447,-0.887575559
27/02/2010,-2.699231578,4.786225823,1.27796047,-3.941153806
28/02/2010,3.273827366,0.711407201,-1.114781746,5.707733963
01/03/2010,-0.283007903,2.758138785,-0.99265203,0.282421154
02/03/2010,3.472006274,-1.562220331,-3.260901528,-2.291173317
03/03/2010,3.678827077,-4.464602757,-2.769758756,-1.025524082
04/03/2010,2.14158454,-0.542327683,-7.1671688,-1.419137073
05/03/2010,-0.93503239,-4.395796538,0.347532887,-0.409129968
06/03/2010,7.389273093,6.270019775,-1.146666489,3.811635943
07/03/2010,0.143174881,-2.744149043,0.866479208,4.141414798
08/03/2010,-1.737931399,-0.184461582,-0.309561031,-6.670078121
09/03/2010,-0.211376373,1.571861538,-1.348178033,-0.663949512
10/03/2010,-4.714530218,-2.288808979,-1.67932361,0.578778575
11/03/2010,-0.068213258,0.734438465,-0.995140491,-2.781663359
12/03/2010,1.902781333,0.033091816,5.413886945,-6.066389005
13/03/2010,-0.614087972,1.585904093,0.424436957,3.289154909
14/03/2010,-1.208702287,-0.893257492,-3.794026299,0.842658018
15/03/2010,-3.120252855,3.689896048,-1.068751749,-0.2232298
16/03/2010,3.242287017,-8.081343884,0.832003325,1.65019281
17/03/2010,-1.358380792,-0.170062685,-0.409995015,-2.10689924
18/03/2010,3.893323812,-0.58276574,-4.067520108,2.762891246
19/03/2010,2.267059629,-4.858105901,-0.509195893,-2.101002585
20/03/2010,5.005994361,0.572733514,3.251166817,0.625112003
21/03/2010,2.208703533,-0.204736999,-0.236936078,-2.518929443
22/03/2010,-3.810529669,-1.855464062,-2.09084868,1.168914135
23/03/2010,-2.52661263,-1.074617773,1.285647557,0.812820067
24/03/2010,-0.910316624,4.123855048,1.437501171,2.900887837
25/03/2010,0.126390712,1.379682462,-0.950035989,-3.816978225
26/03/2010,-0.634072135,5.660391266,1.741669477,1.028147812
27/03/2010,3.501322008,0.985999628,2.575058062,-0.713825577
28/03/2010,-2.00268817,9.456177868,-3.73502681,-3.184378456
29/03/2010,4.036951815,4.686926395,-1.482135509,-2.459015712
30/03/2010,-0.85158024,-2.248025569,-2.029123754,-3.051876994
31/03/2010,0.915052083,3.373192838,-3.820945469,0.362215222
01/04/2010,-2.23771523,-3.154059782,-4.654480463,2.282565177
02/04/2010,1.266496139,0.05076462,0.19193962,0.286544388
03/04/2010,-1.804785668,2.854402811,-0.776942031,3.895226796
04/04/2010,9.606956424,4.327695451,2.539324932,-2.957490172
05/04/2010,-1.408374677,4.868618342,-2.170629314,0.028297984
06/04/2010,-5.650173742,1.878358187,2.156653175,-2.119284967
07/04/2010,-0.77535552,1.284595255,-3.561247844,5.497433369
08/04/2010,0.561341931,-1.418635447,-0.381119706,-1.721548227
09/04/2010,-0.96133229,-5.100986994,-1.587249221,2.622701815
10/04/2010,4.85070943,-4.359519233,2.888337,3.328825822
11/04/2010,2.615922454,1.219231266,1.116015862,-0.021208227
12/04/2010,0.465141641,3.305556432,-1.61879606,-3.11342217
13/04/2010,4.416160899,-0.373657123,1.019348876,-4.978649253
14/04/2010,0.632027569,-0.854677431,-0.248429732,-3.879627963
15/04/2010,-2.303284158,-0.530898836,-5.899870743,-5.753426676
16/04/2010,0.986339093,1.302457472,2.120825687,1.625835254
17/04/2010,0.575089132,-2.254750434,1.900441303,1.139918561
18/04/2010,-5.043688668,0.391793408,5.06650574,3.009691419
19/04/2010,-2.726389768,-2.869668968,8.790032459,6.297072874
20/04/2010,-8.071463128,-1.812338025,0.31440525,0.956802735
21/04/2010,2.286904318,-0.97461598,0.168533538,2.429695277
22/04/2010,-3.953479583,2.655550381,-4.213209059,4.872418357
23/04/2010,2.196213205,0.665899987,-5.380601044,-1.176750428
24/04/2010,-1.980245916,-3.008949117,0.800227336,-2.643998923
25/04/2010,-2.980871209,-3.492917573,-3.918149419,-0.309491279
26/04/2010,-1.091221045,6.288826576,2.124026829,1.681736679
27/04/2010,4.106582412,2.181452897,4.771208889,1.650688014
28/04/2010,-1.654652152,-0.76770565,0.805116099,1.347134549
29/04/2010,-4.275398547,5.924234765,0.999666231,5.38885866
30/04/2010,-8.999277073,-1.41933387,1.634511693,-6.183532631
01/05/2010,-0.950185812,-0.197217377,1.917308449,-0.095749007
02/05/2010,-0.928363682,2.597672328,0.346708546,0.950388063
03/05/2010,-5.803246844,4.188553561,4.284769591,-2.539154805
04/05/2010,4.788395127,0.714966209,-2.636808386,1.787668396
05/05/2010,0.427384317,1.584132695,1.968641373,-0.359968626
06/05/2010,1.621359423,-0.919884464,2.11840656,1.897741963
07/05/2010,-1.952386523,-2.123282428,0.764282258,3.644337796
08/05/2010,-1.816974844,0.318604083,-1.689539938,-0.078185966
09/05/2010,4.410154852,-2.811945171,0.522401618,-4.140055021
10/05/2010,3.419490606,-2.802700672,-1.498490772,3.330026088
11/05/2010,-3.153080104,0.956432077,3.348667247,-1.029641149
12/05/2010,-0.245378903,1.733506879,-0.972854033,-4.604016591
13/05/2010,-3.068938872,0.784931362,4.540493881,-1.397333185
14/05/2010,5.614267811,-1.238486916,-1.998829849,0.733567951
15/05/2010,-1.927365916,0.619206389,3.119037374,-2.43135344
16/05/2010,0.880800232,0.575250183,1.963814901,1.789212645
17/05/2010,-2.924711866,-1.081099538,1.578502688,-2.417703524
18/05/2010,-1.844333126,-6.245276503,-2.354947873,-4.006070232
19/05/2010,-5.616646692,3.071166239,0.464217651,-2.848780986
20/05/2010,0.773915901,1.346475249,0.134531551,6.268865465
21/05/2010,1.250987426,2.341993837,0.052479594,0.758410747
22/05/2010,-0.437497297,-7.853484025,-0.829045951,-5.714707455
23/05/2010,-0.582810006,-1.762870596,-3.317201889,0.63748904
24/05/2010,-5.815159301,5.441891078,-2.915603399,3.080080903
25/05/2010,-1.436095389,-0.243012615,-1.174715442,-2.64418218
26/05/2010,5.568895751,-3.363869681,-0.889801549,0.574103194
